epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4617.69,0.85116,1.00867,1.23142,0.41524,0.47029,0.36828,0.27392,1.26183,1.81042,1.62129,0.000385073,0.000385073,0.000385073
68,4687.96,0.84571,1.01092,1.24024,0.4201,0.46181,0.36903,0.27358,1.26124,1.81365,1.60777,0.000374074,0.000374074,0.000374074
69,4762.56,0.85078,1.00407,1.23534,0.44375,0.45628,0.3684,0.27586,1.26174,1.8309,1.60443,0.000363075,0.000363075,0.000363075
70,4832.3,0.85429,1.01765,1.23758,0.42462,0.46344,0.36827,0.27343,1.25828,1.80944,1.60299,0.000352076,0.000352076,0.000352076
71,4898.68,0.84275,0.99868,1.22742,0.43679,0.48709,0.37132,0.27321,1.26726,1.79984,1.62237,0.000341077,0.000341077,0.000341077
72,4965.72,0.83096,0.98977,1.21741,0.41332,0.47099,0.37022,0.27557,1.26918,1.83269,1.63283,0.000330078,0.000330078,0.000330078
73,5030.97,0.83976,0.99676,1.23199,0.42334,0.47708,0.36646,0.27674,1.24024,1.80034,1.60401,0.000319079,0.000319079,0.000319079
74,5097.41,0.8381,0.99813,1.22387,0.43666,0.47461,0.37805,0.28082,1.24348,1.79127,1.6127,0.00030808,0.00030808,0.00030808
75,5164,0.82017,0.98312,1.21098,0.42914,0.47264,0.37598,0.28176,1.25673,1.78568,1.61611,0.000297081,0.000297081,0.000297081
76,5231.94,0.83138,0.99015,1.22142,0.40525,0.48743,0.37061,0.27874,1.23917,1.79683,1.60016,0.000286083,0.000286083,0.000286083
77,5298.3,0.81493,0.9655,1.21088,0.4203,0.46819,0.3709,0.27766,1.25426,1.80598,1.60879,0.000275084,0.000275084,0.000275084
78,5365.28,0.83333,0.98485,1.22321,0.41732,0.45309,0.36503,0.27562,1.25057,1.83789,1.61117,0.000264085,0.000264085,0.000264085
79,5432.18,0.81711,0.97384,1.21607,0.43514,0.46958,0.37838,0.28618,1.21923,1.75787,1.59211,0.000253086,0.000253086,0.000253086
80,5502.15,0.81345,0.96054,1.21235,0.42632,0.47884,0.37715,0.28726,1.22373,1.77903,1.59704,0.000242087,0.000242087,0.000242087
81,5571.6,0.81233,0.96141,1.20645,0.4442,0.4575,0.37061,0.28181,1.21908,1.80646,1.58734,0.000231088,0.000231088,0.000231088
82,5639.58,0.81635,0.9637,1.21331,0.40504,0.47378,0.37192,0.28338,1.23658,1.79604,1.60975,0.000220089,0.000220089,0.000220089
83,5706.19,0.81242,0.95377,1.20624,0.42999,0.46391,0.36912,0.28047,1.22161,1.7968,1.59703,0.00020909,0.00020909,0.00020909
